,rating,sentiment,review,rating std,sentiment std,mae,spearman,sympathy,unsympathy,count
2,9.0,0.771038293838501,역사를 알고 보면 괜찮은 영화 하정우는 역시 ,2.7255405754769875,0.19005846109474914,1.4527329887662614,0.7748062179181807,8654.0,581.0,2.0
4,10.0,0.9980924129486084,완벽한 영화. 역시 최동훈감독이다. 러닝타임이 짧게 느껴질정도로 흥미진진하고 재밌고 감동적이다. 이런 영화는 잘되야한다. 1000만은 기본 2000만 찍어야한다. ,2.069648951207374,0.30087108080321884,3.407613076887078,0.5134251072932048,4336.0,488.0,4.0
5,7.0,0.330808162689209,"한국영화라 좀 편견을 갖고 보긴했습니다만, 적당한 개그에 역사적 사실에 기반한 내용이라 그런지 나올땐 울컥했습니다. 결국 아직도 그런 친일파들이 주요 요직에 많이 있는데...씁쓸하더군요. ",3.006659275674582,0.28404192175578324,2.7322482109069823,0.20519567041703085,3522.0,436.0,5.0
6,9.0,0.19093653559684753,다보고나면 왠지모르게 하정우가 강하게 기억에 남는다.뭐지.... ㅠ흑 ,2.1755523218345187,0.30291559644807803,3.1756814268170572,0.2996539066124271,2732.0,108.0,6.0
7,10.0,0.5151639580726624,전지현이 웨딩드레스 입고  저격하는 모습이 인상적이다.  예쁘다.  하정우는  극에 활력을 불어 넣는거 같고 이정재는 연설신에서 강렬했다. ,2.6246692913372702,0.2587210840990901,3.011252542336782,0.5,2475.0,109.0,7.0
8,10.0,0.9239693880081177,아주아주재밋게봣습니다 ,4.031128874149275,0.42878272112207366,1.24274028326613,0.7999999999999999,1975.0,165.0,8.0
9,10.0,0.9911989569664001,최고입니다 끝나고도 여운이 남는 영화 ,3.0590888662080453,0.16117481095233815,1.9184040625890095,0.5249007842757842,1957.0,150.0,9.0
10,10.0,0.9803187847137451,1930년대 당시 상해와 서울의 낭만과 혼란스러움을 적절하게 잘 표현해낸 최동훈. 너무나도 톡톡튀는 개성을 가진 전지현하정우이정재조진웅오달수까지..뭐라형용할수없을정도로 올해하반기 최고의영화예약! ,1.9178124348192638,0.2430377346304819,4.527096104054224,0.07392284758051434,1777.0,142.0,10.0
11,10.0,0.9933340549468994,기대하지 않았던 감동과 찡함. 단순 오락 영화라고 생각했는데 많은 생각이 드는 영화 ,1.3085101419271168,0.22965966363745063,2.03656390529548,0.12002648278710394,1534.0,121.0,11.0
13,9.0,0.9291204214096069,"믿고 보는 배우들 연기력, 근래 개봉했던 한국영화중에서 재미있었습니다 ",1.8182666883600986,0.2862359133289205,2.9605619333684445,0.290989619054979,1281.0,111.0,13.0
14,8.0,0.8273591995239258,전지현 독보적 존재감!! ,1.6218463205644191,0.25662770356487014,1.7826665356045677,0.4145495787644613,1259.0,156.0,14.0
16,10.0,0.9916400909423828,지금 우리가 이 땅에 살 수 있는 건 과거 얼마나 많은 선조들의 피와 땀이 필요했을지 고민할 수 있었습니다. 그 고민을 경쾌하고 밝게 전달해주신 감독과 배우 화이팅! ,0.16433554953054488,0.25493484367983366,3.191479724314478,-0.12203459945389274,838.0,30.0,16.0
17,8.0,0.6016698479652405,보는내내 가슴이 숙연해진다..친일파들은 모두 척결해야 되지만 현 정권까지 뿌리밖혀 있다는 사실에 가슴이 미어진다.. ,2.8476996995948385,0.2831470722005244,3.417683652762709,0.28695207011807744,693.0,45.0,17.0
18,9.0,0.9948028326034546,진짜 재밌게 봤음ㅠ 아....다 보고 여운이 남아서..하....정말 오랜만에 너무 잘봤음 ,1.0,0.25881912070487195,2.497092716395855,0.20745595841899625,675.0,52.0,18.0
20,10.0,0.9596930742263794,보고나서 쉽게 자리 뜨기가 힘들다...가슴이 먹먹 ,2.1213203435596424,0.37999623535997923,2.106895476579666,0.7378647873726218,540.0,57.0,20.0
21,10.0,0.54156494140625,믿고봐라 최동훈이니까 ,3.2106009527047505,0.24373634230895863,4.100253456363491,0.1847328458227581,575.0,121.0,21.0
23,10.0,0.9842573404312134,시사회로 봤는데 재미와 의미를 모두 잡은 영화입니다!! 한두번 더 봐도 좋겠단 생각이 들었습니다^^ ,1.80400606147055,0.32683648848634933,2.5296058792334337,0.3994110364750851,480.0,77.0,23.0
24,10.0,0.05993795394897461,오랫만에 볼 한국 영화가 생겼다. 지루할 틈이 없었다 ,2.717737050296848,0.2655629420331283,2.964122316012016,0.25644927783129123,463.0,63.0,24.0
26,10.0,0.9019879102706909,시사회다녀왔어요생각보다 무거운느낌이라 더좋았어요~하정우멋있어... ,0.4330127018922193,0.07354044005580203,0.996967613697052,0.7745966692414834,332.0,42.0,26.0
27,10.0,0.6615182161331177,이번달에 본영화중 최고다.기대한만큼 더실망하거나 그럴줄알았는데전혀 그런거없이 배우들의 뛰어난연기려과탄탄한스토리 기대이상이다. ,1.961504524593303,0.2508290415862351,3.7276112705469133,0.3779644730092272,309.0,32.0,27.0
29,10.0,0.9662142395973206,"시사회 보고 왔는데.. 진짜 꼭 봐야할 영화, 보고 나니 가슴이 찡한 영화 ",0.1923076923076923,0.25730640261061266,2.446608850589165,0.12,263.0,63.0,29.0
30,10.0,0.9987528324127197,시사회 때 보고 한번 더 봤습니다. 감독님 정말 대단하신 것 같습니다!! 억지 감동이 아닌 진짜 묵직한 감동이 있는 영화입니다!! ,0.5846545883291442,0.23561079411036223,2.054004164205657,-0.16303822229281298,222.0,36.0,30.0
31,10.0,0.998494029045105,정말재밌네요 전지현씨의 연기최곱니다 다가진 여자네요ㅠㅠ 임신축하드려요~ 하정우씨 진짜 멋있어요♡ ,0.410325903324145,0.17098982057707207,1.6510815237249648,0.19432508268938875,196.0,22.0,31.0
32,10.0,0.8706940412521362,시사회보고 온 친구가 재밌다고 하길래 이미 예매해찌여 ㅋㅋ ,0.3,0.2821713537590505,2.7862175941467284,0.2901294265928297,246.0,73.0,32.0
33,9.0,0.32287365198135376,일본 잔제를아직도 청산하지 못한 대한민국  암살 영화관람후 증오심  더폭발 함니다   추천 ,2.0953597649040363,0.2678297482637884,2.6567390125531416,0.15582996384739195,190.0,19.0,33.0
34,10.0,0.17574355006217957,누군가 놈놈놈과 도둑들을 섞은거 같다고 했지만 전혀 그런느낌도 없었고 예고편은 정말 재미없게 만들어놓고 영화는 재미있는거 같다 여성들은 하정우에 매력에서 헤메일듯 내여친도 갑자기 하정우 빠가 되었다 ㅡㅡ ,3.251373336211726,0.2833700993365818,3.4742774793079922,0.03706246583305506,195.0,24.0,34.0
35,10.0,0.5516511797904968,전지현 하정우 이정재 조진웅 걍 다 멋있어요 ㅎ광복 70주년 맞이해서 뜻깊은 영화인것같구요일본에서 꼭 개봉했으면 좋겠네요같이 역사 공부 좀 하게 ㅎ ,0.8331955809010617,0.12303244897753642,1.0629233446988193,-0.029193710406057116,165.0,13.0,35.0
36,10.0,0.9417617917060852,처음부터 끝까지 최고였던 영화.. ,1.2,0.17829252895557485,2.1209466218948365,0.0,178.0,32.0,36.0
38,10.0,0.310712605714798,조조로 봄 가슴이 먹먹하고 전지현 하정우의 눈빛이 내내 잔상에 남는다 이런소재로 영화를 만든 최동훈감독 최고 라고생각하고 배우들 말할것도없다 ,0.9428090415820634,0.10237794917180668,4.778519133726756,-0.8660254037844387,141.0,9.0,38.0
39,9.0,0.8986055850982666,저는너무재밌엇어요 ㅜㅜ짱 ,0.8748897637790901,0.1785895076595235,1.1731320487128363,0.41286141192238524,162.0,34.0,39.0
40,9.0,0.9764202833175659,긴장감과 이야기의 흐름이 잘이어진거같고 여운이많이남네요 ,0.8,0.2740157055842738,4.331590144634247,0.25873211569557364,171.0,44.0,40.0
41,10.0,0.47219425439834595,닥치고 감상 다 닥치고 감상 ,2.949307155657528,0.36282486185592183,2.7663112367902483,0.5120516396898626,158.0,33.0,41.0
42,9.0,0.706884503364563,이정재씨가 스타에서 진짜배우가 되었네요.신세계이후 주욱 지지하고 있어요 ,3.222964473896664,0.2451374287033862,3.1905889242887495,0.36466162043387107,151.0,27.0,42.0
43,10.0,0.34616243839263916,친일파들/알바들 또 평점 테러하네 ,3.38015063249063,0.21326054374846143,3.1061440616283775,0.3030886071309549,161.0,38.0,43.0
44,10.0,0.455180287361145,여기에 별점테러하는 친일파 OO이있네역시 피는 못속이지 부끄러운줄 모르고 뻔뻔하고옛말에 뿌린만큼 돌아온다지 대대손손 불행하고 천벌받기를 염원한다 ,4.3147750753216885,0.31949817240783135,3.5580045647091336,0.18257418583505539,144.0,24.0,44.0
45,10.0,0.9621978402137756,재밌게 잘 봤음 ㅋ 하와이 피스톨 ,1.6476379712648472,0.2618280769974978,1.6748335631120772,0.42486863420968685,138.0,20.0,45.0
46,10.0,0.5059429407119751,최동훈은 우리를 실망시키지 않는구나 ,0.8329931278350429,0.24441922245233835,2.8384470088141307,-0.1133893419027682,134.0,22.0,46.0
48,10.0,0.9942024946212769,진짜 최고ㅠㅠ 더욱 더 독립운동가분들에게 감사하게 되고 친일파는 척살하고 싶어지네요 ,1.4937887931959075,0.16040915801539307,1.3054834550077266,0.21574395598823748,106.0,2.0,48.0
49,10.0,0.08484905958175659,이게 만점 아니면 도대체 뭐가 만점이냐 --;; ,2.033465671922909,0.2912298828698112,3.902844758083423,0.4810754345237538,118.0,20.0,49.0
50,10.0,0.8958491086959839,너무 잘봤습니다연기자들 한분한분 다 빛낸 영화.한국인으로서 다시한번 애국심을 일으켜주네요.감사합니다. ,2.593698657761292,0.14726951906828759,1.7017564231699163,0.337099931231621,108.0,12.0,50.0
